Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
40.50000000	0.15912504	880.24178400	0.03120099	419.26257871	
40.60000000	0.15951794	881.93768500	0.03127803	420.07034294	
40.70000000	0.15991084	883.56456600	0.03135507	420.84523267	
40.80000000	0.16030374	885.45766400	0.03143211	421.74692260	
40.90000000	0.16069664	887.10426500	0.03150915	422.53120505	
41.00000000	0.16108955	888.94806400	0.03158619	423.40941367	
41.10000000	0.16148245	890.83130200	0.03166322	424.30640724	
41.20000000	0.16187535	892.40888400	0.03174026	425.05781567	
41.30000000	0.16226825	894.08506400	0.03181730	425.85618671	
41.40000000	0.16266115	895.67250600	0.03189434	426.61229150	
41.50000000	0.16305405	897.13176900	0.03197138	427.30734413	
41.60000000	0.16344695	898.63047200	0.03204842	428.02118219	
41.70000000	0.16383985	900.31651200	0.03212546	428.82424958	
41.80000000	0.16423276	901.94339400	0.03220250	429.59913980	
41.90000000	0.16462566	903.58013500	0.03227954	430.37872589	
42.00000000	0.16501856	905.15771600	0.03235658	431.13013384	
42.10000000	0.16541146	906.74515800	0.03243362	431.88623863	
42.20000000	0.16580436	908.26358000	0.03251066	432.60946892	
42.30000000	0.16619726	909.89046200	0.03258770	433.38435913	
42.40000000	0.16659016	911.59622200	0.03266474	434.19681924	
42.50000000	0.16698307	913.23296300	0.03274178	434.97640533	
42.60000000	0.16737597	914.94858300	0.03281882	435.79356180	
42.70000000	0.16776887	916.84168100	0.03289586	436.69525173	
42.80000000	0.16816177	918.62632100	0.03297290	437.54528269	
42.90000000	0.16855467	920.60815800	0.03304994	438.48923934	
43.00000000	0.16894757	922.04770100	0.03312697	439.17489926	
43.10000000	0.16934047	923.66472200	0.03320401	439.94509264	
43.20000000	0.16973337	925.40006200	0.03328105	440.77164182	
43.30000000	0.17012628	926.89876500	0.03335809	441.48547988	
43.40000000	0.17051918	928.96934100	0.03343513	442.47170326	
