Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
22.80000000	0.11504917	621.65636400	0.02255866	296.09733937	
22.90000000	0.11555377	623.70722100	0.02265760	297.07417052	
23.00000000	0.11605837	625.80737800	0.02275654	298.07448345	
23.10000000	0.11656297	627.77935600	0.02285548	299.01374422	
23.20000000	0.11706757	629.84993200	0.02295443	299.99996761	
23.30000000	0.11757218	631.66415200	0.02305337	300.86408764	
23.40000000	0.11807678	633.64599000	0.02315231	301.80804477	
23.50000000	0.11858138	635.62782700	0.02325125	302.75200143	
23.60000000	0.11908598	637.69840400	0.02335019	303.73822529	
23.70000000	0.11959058	639.95631900	0.02344913	304.81367897	
23.80000000	0.12009518	641.81983800	0.02354808	305.70128030	
23.90000000	0.12059979	643.86083500	0.02364702	306.67341510	
24.00000000	0.12110439	645.77365300	0.02374596	307.58449774	
24.10000000	0.12160899	647.75549100	0.02384490	308.52845487	
24.20000000	0.12211359	649.52041100	0.02394384	309.36909312	
24.30000000	0.12261819	651.76846600	0.02404278	310.43985044	
24.40000000	0.12312279	653.73058400	0.02414172	311.37441486	
24.50000000	0.12362739	655.49550400	0.02424067	312.21505311	
24.60000000	0.12413200	657.95061600	0.02433961	313.38443248	
24.70000000	0.12463660	659.80427500	0.02443855	314.26733746	
24.80000000	0.12514120	661.62835500	0.02453749	315.13615385	
24.90000000	0.12564580	663.65949200	0.02463643	316.10359228	
25.00000000	0.12615040	665.39483300	0.02473537	316.93014194	
25.10000000	0.12665500	667.50484900	0.02483431	317.93515075	
25.20000000	0.12715961	669.57542500	0.02493326	318.92137414	
25.30000000	0.12766421	671.70516100	0.02503220	319.93577566	
25.40000000	0.12816881	673.77573800	0.02513114	320.92199952	
25.50000000	0.12867341	675.69841600	0.02523008	321.83777852	
25.60000000	0.12917801	677.59151500	0.02532902	322.73946892	
25.70000000	0.12968261	679.46489400	0.02542796	323.63176661	
25.80000000	0.13018722	681.33827300	0.02552691	324.52406430	
25.90000000	0.13069182	683.23137100	0.02562585	325.42575423	
26.00000000	0.13119642	685.25264900	0.02572479	326.38849678	
26.10000000	0.13170102	687.22462600	0.02582373	327.32775709	
26.20000000	0.13220562	689.18674400	0.02592267	328.26232151	
26.30000000	0.13271022	691.07984300	0.02602161	329.16401191	
